,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1950,"POMPANO, FLORIDA","845,400",383,"458,962","4,589,620",Public,Commercial
1950,"POMPANO, PACIFIC","183,700",83,"47,698","476,980",Public,Commercial
1950,PORGIES **,"35,527,600","16,115","2,434,856","24,348,560",Public,Commercial
1950,PORKFISH,700,0,35,350,Public,Commercial
1950,"PUFFER, NORTHERN","1,631,800",740,"76,310","763,100",Public,Commercial
1950,"RATFISH, SPOTTED","521,000",236,"5,209","52,090",Public,Commercial
1950,"REDFISH, ACADIAN","207,793,000","94,254","9,137,318","91,373,180",Public,Commercial
1950,"ROCK BASSES, PACIFIC **","202,800",92,"28,477","284,770",Public,Commercial
1950,ROCKFISHES **,"26,563,428","12,049","1,113,855","11,138,550",Public,Commercial
1950,"RUNNER, BLUE","795,000",361,"26,280","262,800",Public,Commercial
1950,SABLEFISH,"6,048,701","2,744","482,398","4,823,980",Public,Commercial
1950,"SALMON, ATLANTIC",800,0,362,"3,620",Public,Commercial
1950,"SALMON, CHINOOK","36,559,160","16,583","8,328,433","83,284,330",Public,Commercial
1950,"SALMON, CHUM","74,610,432","33,843","5,920,158","59,201,580",Public,Commercial
1950,"SALMON, COHO","40,224,632","18,246","7,151,008","71,510,080",Public,Commercial
1950,"SALMON, PINK","85,773,432","38,907","6,773,180","67,731,800",Public,Commercial
1950,"SALMON, SOCKEYE","91,476,188","41,493","9,277,170","92,771,700",Public,Commercial
1950,"SARDINE, PACIFIC","714,521,800","324,105","12,140,322","121,403,220",Public,Commercial
1950,"SAWFISH, SMALLTOOTH","20,600",9,794,"7,940",Public,Commercial
1950,SCADS **,"189,500",86,"9,480","94,800",Public,Commercial
1950,"SCALLOP, BAY","1,599,500",726,"1,263,127","12,631,270",Public,Commercial
1950,"SCALLOP, SEA","20,062,900","9,100","9,207,583","92,075,830",Public,Commercial
1950,SCALLOPS **,"18,000",8,"10,616","106,160",Public,Commercial
1950,SCULPINS **,"139,500",63,"23,794","237,940",Public,Commercial
1950,"SEA BASS, GIANT","150,800",68,"23,617","236,170",Public,Commercial
1950,SEAROBINS **,"230,100",104,"4,114","41,140",Public,Commercial
1950,"SEATROUT, SAND","470,300",213,"41,319","413,190",Public,Commercial
1950,"SEATROUT, SPOTTED","6,505,300","2,951","1,457,142","14,571,420",Public,Commercial
1950,"SEAWEED, IRISH MOSS","2,150,000",975,"30,200","302,000",Public,Commercial
1950,"SEAWEED, KELP **","201,204,000","91,266","3,090,493","30,904,930",Public,Commercial
1950,"SHAD, AMERICAN","11,115,800","5,042","1,787,787","17,877,870",Public,Commercial
1950,"SHAD, GIZZARD","282,300",128,"6,754","67,540",Public,Commercial
1950,"SHAD, HICKORY","601,400",273,"31,561","315,610",Public,Commercial
1950,"SHARK, TOPE","290,400",132,"92,080","920,800",Public,Commercial
1950,"SHARKS, CHONDRICHTHYES (CLASS) **","912,958",414,"23,061","230,610",Public,Commercial
1950,"SHARKS, DOGFISH **","3,497,000","1,586","106,837","1,068,370",Public,Commercial
1950,"SHEEPHEAD, CALIFORNIA","66,200",30,"4,904","49,040",Public,Commercial
1950,SHEEPSHEAD,"433,900",197,"43,022","430,220",Public,Commercial
1950,"SHRIMP, MARINE **","128,653,600","58,357","27,349,605","273,496,050",Confidential,Commercial
1950,"SHRIMP, MARINE **","59,580,700","27,026","15,795,336","157,953,360",Public,Commercial
1950,"SHRIMP, OCEAN","919,000",417,"61,034","610,340",Public,Commercial
1950,"SHRIMPS, PENAEID **","54,900",25,"21,405","214,050",Confidential,Commercial
1950,"SHRIMPS, PENAEID **","2,158,260",979,"172,661","1,726,610",Public,Commercial
1950,"SHRIMPS, PENAEOID **","107,600",49,"51,462","514,620",Public,Commercial
1950,"SILVERSIDES, ATHERINIDAE (FAMILY) **","330,700",150,"22,688","226,880",Public,Commercial
1950,"SKATES, RAJIDAE (FAMILY) **","847,125",384,"13,032","130,320",Public,Commercial
1950,"SMELT, EULACHON","1,695,800",769,"154,276","1,542,760",Public,Commercial
1950,"SMELT, RAINBOW","151,500",69,"42,138","421,380",Public,Commercial
1950,"SMELT, WHITEBAIT","207,600",94,"19,456","194,560",Public,Commercial
1950,SMELTS **,"1,216,700",552,"90,457","904,570",Public,Commercial
1950,"SMELTS, HERRING **","4,900",2,"1,168","11,680",Public,Commercial
1950,"SNAPPER, GRAY","371,900",169,"47,368","473,680",Public,Commercial
1950,"SNAPPER, MUTTON","76,300",35,"10,244","102,440",Public,Commercial
1950,"SNAPPER, RED","7,146,800","3,242","1,722,141","17,221,410",Public,Commercial
1950,"SNAPPER, YELLOWTAIL","346,400",157,"68,270","682,700",Public,Commercial
1950,"SNAPPERS, LUTJANIDAE (FAMILY) **","5,000",2,"1,550","15,500",Public,Commercial
1950,"SNOOK, COMMON","574,000",260,"68,858","688,580",Public,Commercial
1950,SOLES **,"45,244,200","20,523","2,249,042","22,490,420",Public,Commercial
1950,"SPONGE, GRASS","1,100",0,"1,100","11,000",Public,Commercial
1950,"SPONGE, SHEEPSWOOL","19,800",9,"128,300","1,283,000",Public,Commercial
1950,"SPONGE, YELLOW","1,100",0,"1,100","11,000",Public,Commercial
1950,SPOT,"10,472,300","4,750","659,643","6,596,430",Public,Commercial
1950,SQUAWFISHES **,"1,500",1,225,"2,250",Public,Commercial
1950,"SQUIDS, LOLIGINIDAE **","8,355,000","3,790","276,777","2,767,770",Public,Commercial
1950,STURGEONS **,"495,700",225,"93,033","930,330",Public,Commercial
1950,SUCKERS **,"85,200",39,"5,114","51,140",Public,Commercial
1950,SUNFISHES **,"23,000",10,"1,288","12,880",Public,Commercial
1950,SURFPERCHES **,"495,000",225,"58,606","586,060",Public,Commercial
1950,SWORDFISH,"937,100",425,"348,959","3,489,590",Public,Commercial
1950,TAUTOG,"191,800",87,"9,911","99,110",Public,Commercial
1950,"TERRAPIN, DIAMONDBACK","288,900",131,"60,614","606,140",Public,Commercial
1950,"TILEFISH, GOLDEN","2,401,400","1,089","158,343","1,583,430",Public,Commercial
1950,"TREEFROG, GREEN","48,300",22,"19,347","193,470",Public,Commercial
1950,TRIGGERFISHES **,"15,800",7,"1,675","16,750",Public,Commercial
1950,TRIPLETAIL,"37,400",17,"3,378","33,780",Public,Commercial
1950,"TROUT, RAINBOW","1,069,358",485,"172,940","1,729,400",Public,Commercial
1950,"TUNA, ALBACORE","72,453,294","32,865","13,839,263","138,392,630",Public,Commercial
1950,"TUNA, BLUEFIN","1,267,200",575,"112,366","1,123,660",Public,Commercial
1950,"TUNA, BLUEFIN PACIFIC","2,761,800","1,253","425,391","4,253,910",Public,Commercial
1950,"TUNA, LITTLE TUNNY","295,900",134,"10,865","108,650",Public,Commercial
1950,"TUNA, SKIPJACK","126,786,100","57,510","18,130,439","181,304,390",Public,Commercial
1950,"TUNA, YELLOWFIN","187,889,500","85,226","28,823,213","288,232,130",Public,Commercial
1950,"TURTLE, GREEN SEA","7,100",3,710,"7,100",Public,Commercial
1950,"TURTLE, LOGGERHEAD","7,600",3,194,"1,940",Public,Commercial
1950,"TURTLES, SNAPPING","193,700",88,"24,620","246,200",Public,Commercial
1950,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **","34,000",15,"1,388","13,880",Public,Commercial
1950,"VARDEN, DOLLY","20,624",9,"2,326","23,260",Public,Commercial
1950,"VERTEBRATES, JAWED","106,431,000","48,277","1,120,356","11,203,560",Public,Commercial
1950,WALLEYE,"229,800",104,"52,421","524,210",Public,Commercial
1950,WEAKFISH,"7,985,600","3,622","784,071","7,840,710",Public,Commercial
1950,"WHITEFISH, LAKE","176,000",80,"40,097","400,970",Public,Commercial
1950,"WHITEFISH, OCEAN","20,600",9,"1,890","18,900",Public,Commercial
1950,"WOLFFISH, ATLANTIC","2,421,300","1,098","137,008","1,370,080",Public,Commercial
1951,ABALONES **,"816,800",370,"364,596","3,407,439",Public,Commercial
1951,ALEWIFE,"57,696,700","26,171","765,521","7,154,402",Public,Commercial
1951,AMBERJACKS **,"52,700",24,"2,322","21,700",Public,Commercial
1951,ANCHOVIES **,"6,958,400","3,156","143,852","1,344,411",Public,Commercial
1951,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **","2,182,600",990,"360,534","3,369,476",Public,Commercial
1951,"BASS, BLACK SEA","18,710,800","8,487","2,115,319","19,769,337",Public,Commercial
1951,"BASS, ROCK","12,000",5,"1,207","11,280",Public,Commercial
1951,"BASS, STRIPED","6,116,600","2,774","1,299,857","12,148,197",Public,Commercial
1951,"BASS, WHITE","8,800",4,932,"8,710",Public,Commercial
1951,"BASS, WHITE SEA","1,533,000",695,"364,620","3,407,664",Public,Commercial
1951,BLUEFISH,"4,669,200","2,118","760,256","7,105,197",Public,Commercial
1951,"BONITO, ATLANTIC","57,800",26,"5,522","51,607",Public,Commercial
1951,"BONITO, PACIFIC","776,800",352,"74,265","694,065",Public,Commercial
1951,BOWFIN,"23,100",10,"1,086","10,150",Public,Commercial
1951,BUFFALOFISHES **,"775,500",352,"86,324","806,767",Public,Commercial
1951,BURBOT,"6,500",3,79,738,Public,Commercial
1951,"BUTTERCLAM, WASHINGTON","38,980",18,"15,550","145,327",Public,Commercial
1951,CABEZON,"23,900",11,717,"6,701",Public,Commercial
1951,"CABRILLA, SPOTTED","391,800",178,"59,314","554,336",Public,Commercial
1951,"CARP, COMMON","3,471,900","1,575","153,026","1,430,148",Public,Commercial
1951,"CATFISHES, BULLHEAD **","529,900",240,"50,834","475,084",Public,Commercial
1951,"CATFISHES, FORKTAIL **","79,000",36,"19,751","184,589",Public,Commercial
1951,"CATFISHES, SEA **","1,164,200",528,"73,434","686,299",Public,Commercial
1951,"CATFISHES-BULLHEADS, OTHER **","10,810,700","4,904","2,198,841","20,549,915",Public,Commercial
1951,CHUBS **,"38,900",18,"16,329","152,607",Public,Commercial
1951,"CLAM, PACIFIC LITTLENECK","177,000",80,"92,043","860,215",Public,Commercial
1951,"CLAM, PACIFIC RAZOR","2,754,881","1,250","549,288","5,133,532",Public,Commercial
1951,"CLAM, QUAHOG, OCEAN","205,300",93,"14,780","138,131",Public,Commercial
1951,"CLAM, RAZOR, ATLANTIC","46,800",21,"6,274","58,636",Public,Commercial
1951,"CLAM, SOFT","9,021,500","4,092","2,329,511","21,771,132",Public,Commercial
1951,"CLAM, SURF, ATLANTIC","10,487,300","4,757","1,049,457","9,808,009",Public,Commercial
1951,CLAMS **,"55,700",25,"28,060","262,243",Public,Commercial
1951,"CLAMS, QUAHOG, MERCENARIA **","20,566,000","9,329","7,431,220","69,450,653",Public,Commercial
1951,COBIA,"61,600",28,"5,551","51,879",Public,Commercial
1951,"COCKLE, NUTTALL","32,073",15,"2,566","23,981",Public,Commercial
1951,"COD, ATLANTIC","50,023,000","22,690","3,634,700","33,969,159",Public,Commercial
1951,"COD, PACIFIC","9,567,600","4,340","516,118","4,823,533",Public,Commercial
1951,"CONCHS, TRUE **","415,600",189,"40,827","381,559",Public,Commercial
1951,"CRAB, ATLANTIC ROCK","2,328,400","1,056","127,090","1,187,757",Public,Commercial
1951,"CRAB, BLUE","114,357,100","51,872","5,703,759","53,306,158",Public,Commercial
1951,"CRAB, DUNGENESS","29,332,816","13,305","3,674,258","34,338,861",Public,Commercial
1951,"CRAB, FLORIDA STONE","66,300",30,"32,618","304,841",Public,Commercial
1951,"CRAB, HORSESHOE","615,700",279,"3,695","34,533",Public,Commercial
1951,"CRAB, KING **","1,993,912",904,"227,622","2,127,308",Public,Commercial
1951,"CRAB, RED ROCK","22,600",10,"1,803","16,850",Public,Commercial
1951,"CRAB, SNOW/TANNER **","12,120",5,"1,030","9,626",Public,Commercial
1951,CRAPPIES **,"1,300",1,82,767,Public,Commercial
1951,"CRAYFISHES, FRESHWATER **","57,100",26,"9,071","84,776",Public,Commercial
1951,"CROAKER, ATLANTIC","8,495,500","3,854","1,059,352","9,900,486",Public,Commercial
1951,"CROAKER, PACIFIC WHITE","682,200",309,"44,249","413,542",Public,Commercial
1951,CUNNER,"16,800",8,332,"3,102",Public,Commercial
1951,CUSK,"3,923,000","1,779","181,452","1,695,812",Public,Commercial
1951,DOLPHINFISH **,"27,000",12,"2,679","25,037",Public,Commercial
1951,"DRUM, BLACK","1,325,000",601,"141,171","1,319,354",Public,Commercial
1951,"DRUM, FRESHWATER","745,800",338,"75,151","702,346",Public,Commercial
1951,"DRUM, RED","2,153,300",977,"333,882","3,120,392",Public,Commercial
1951,"EEL, AMERICAN","1,837,200",833,"242,281","2,264,310",Public,Commercial
1951,"EEL, CONGER","115,600",52,"3,637","33,990",Public,Commercial
1951,FLATFISHES **,"7,844,548","3,558","954,078","8,916,618",Public,Commercial
1951,"FLOUNDER, AMERICAN PLAICE","11,361,500","5,154","880,894","8,232,656",Public,Commercial
1951,"FLOUNDER, SUMMER","11,655,100","5,287","2,298,363","21,480,029",Public,Commercial
1951,"FLOUNDER, WINTER","20,542,000","9,318","2,953,453","27,602,365",Public,Commercial
1951,"FLOUNDER, WITCH","6,008,200","2,725","563,915","5,270,235",Public,Commercial
1951,"FLOUNDER, YELLOWTAIL","18,430,200","8,360","2,373,385","22,181,169",Public,Commercial
1951,FLYINGFISHES **,"53,500",24,"4,217","39,411",Public,Commercial
1951,GARFISHES **,"202,600",92,"10,130","94,673",Public,Commercial
1951,GOATFISHES **,"145,300",66,"14,530","135,794",Public,Commercial
1951,GOOSEFISH,"176,000",80,"6,420","59,999",Public,Commercial
1951,"GROUPER, GOLIATH","194,500",88,"12,766","119,309",Public,Commercial
1951,"GROUPER, WARSAW","212,300",96,"19,117","178,664",Public,Commercial
1951,"GROUPERS, SERRANIDAE (FAMILY) **","7,747,700","3,514","852,330","7,965,701",Public,Commercial
1951,"GRUNTS, HAEMULIDAE (FAMILY) **","248,600",113,"20,835","194,720",Public,Commercial
1951,HADDOCK,"154,102,800","69,901","11,967,751","111,848,140",Public,Commercial
1951,"HAKE, PACIFIC (WHITING)","43,100",20,820,"7,664",Public,Commercial
1951,"HAKE, RED","5,165,500","2,343","106,314","993,589",Public,Commercial
1951,"HAKE, SILVER","120,076,100","54,466","2,902,469","27,125,879",Public,Commercial
1951,"HAKE, WHITE","12,238,500","5,551","565,145","5,281,729",Public,Commercial
1951,"HALIBUT, ATLANTIC","433,500",197,"98,903","924,328",Public,Commercial
1951,"HALIBUT, CALIFORNIA","865,900",393,"198,641","1,856,458",Public,Commercial
1951,"HALIBUT, PACIFIC","47,622,800","21,602","6,788,630","63,445,140",Public,Commercial
1951,"HARVESTFISH, NORTHERN","852,800",387,"58,207","543,990",Public,Commercial
1951,HARVESTFISHES **,"10,628,200","4,821","800,675","7,482,944",Public,Commercial
1951,"HERRING, ATLANTIC","67,211,900","30,487","1,005,254","9,394,897",Public,Commercial
1951,"HERRING, LAKE OR CISCO","18,900",9,"7,926","74,075",Public,Commercial
1951,"HERRING, PACIFIC","87,108,200","39,512","1,100,346","10,283,608",Public,Commercial
1951,HOGCHOKER,"11,300",5,680,"6,355",Public,Commercial
1951,HOGFISH,"40,900",19,"4,997","46,701",Public,Commercial
1951,JACK MACKEREL,"89,838,100","40,750","2,016,402","18,844,879",Public,Commercial
1951,"JACK, CREVALLE","730,700",331,"21,919","204,850",Public,Commercial
1951,"JACK, YELLOWTAIL","4,669,700","2,118","443,307","4,143,056",Public,Commercial
1951,KINGFISHES **,"3,754,300","1,703","338,627","3,164,738",Public,Commercial
1951,LADYFISH,"1,061,200",481,"41,732","390,019",Public,Commercial
1951,"LAMPREY, SEA","206,800",94,"5,170","48,318",Public,Commercial
1951,"LANCE, AMERICAN SAND","41,900",19,"1,310","12,243",Public,Commercial
1951,LINGCOD,"6,679,052","3,030","593,026","5,542,300",Public,Commercial
1951,"LOBSTER, AMERICAN","25,945,800","11,769","9,378,322","87,647,868",Public,Commercial
1951,"LOBSTER, CALIFORNIA SPINY","824,600",374,"301,867","2,821,187",Public,Commercial
1951,"LOBSTER, CARIBBEAN SPINY","3,097,400","1,405","588,506","5,500,056",Public,Commercial
1951,"MACKEREL, ATLANTIC","15,742,700","7,141","1,487,134","13,898,449",Public,Commercial
1951,"MACKEREL, CHUB","18,400",8,"1,271","11,878",Public,Commercial
1951,"MACKEREL, FRIGATE","1,500",1,64,598,Public,Commercial
1951,"MACKEREL, KING AND CERO **","3,141,300","1,425","469,554","4,388,354",Public,Commercial
1951,"MACKEREL, SPANISH","8,720,100","3,955","920,790","8,605,513",Public,Commercial
1951,MACKERELS **,"33,523,400","15,206","932,348","8,713,533",Public,Commercial
1951,MENHADENS **,"1,127,065,600","511,234","12,983,198","121,338,298",Public,Commercial
1951,MINNOWS **,"99,200",45,"7,256","67,813",Public,Commercial
1951,"MULLET, STRIPED","33,242,700","15,079","3,547,669","33,155,785",Public,Commercial
1951,"MULLET, WHITE","5,919,900","2,685","413,751","3,866,831",Public,Commercial
1951,"MUSSEL, SEA","721,800",327,"53,631","501,225",Public,Commercial
1951,OCTOPUSES **,"59,400",27,"3,640","34,019",Public,Commercial
1951,"OYSTER, EASTERN","64,305,000","29,169","27,104,744","253,315,366",Public,Commercial
1951,"OYSTER, OLYMPIA","87,600",40,"124,854","1,166,860",Public,Commercial
1951,"OYSTER, PACIFIC","8,597,000","3,900","1,840,170","17,197,851",Public,Commercial
1951,PADDLEFISH,"22,800",10,"3,556","33,234",Public,Commercial
1951,"PERCH, SAND","14,300",6,735,"6,869",Public,Commercial
1951,"PERCH, WHITE","2,279,800","1,034","228,058","2,131,383",Public,Commercial
1951,"PERCH, YELLOW","243,900",111,"34,325","320,794",Public,Commercial
