State,Year,Impact Type,Imports,Impact Value,Notes,Sector
California,2022,Income,With Imports,"3,810,027,298",,Importers
California,2022,Income,With Imports,"6,637,767,865",,Total Impacts
California,2022,Income,With Imports,"779,628,737",,Seafood Wholesalers & Distributors
California,2022,Income,Without Imports,"145,475,572",,Commercial Harvesters
California,2022,Income,Without Imports,"181,018,789",,Retail
California,2022,Income,Without Imports,"29,061,207",,Seafood Wholesalers & Distributors
California,2022,Income,Without Imports,"424,475,424",,Total Impacts
California,2022,Income,Without Imports,"68,919,856",,Seafood Processors & Dealers
California,2022,Income,Without Imports,,N/A - Data are not available.,Importers
California,2022,Sales,With Imports,"2,403,663,113",,Seafood Wholesalers & Distributors
California,2022,Sales,With Imports,"23,772,691,495",,Importers
California,2022,Sales,With Imports,"3,963,503,728",,Retail
California,2022,Sales,With Imports,"31,204,269,831",,Total Impacts
California,2022,Sales,With Imports,"416,847,083",,Commercial Harvesters
California,2022,Sales,With Imports,"647,564,413",,Seafood Processors & Dealers
California,2022,Sales,Without Imports,"1,127,266,504",,Total Impacts
California,2022,Sales,Without Imports,"185,864,148",,Seafood Processors & Dealers
California,2022,Sales,Without Imports,"416,847,083",,Commercial Harvesters
California,2022,Sales,Without Imports,"434,956,949",,Retail
California,2022,Sales,Without Imports,"89,598,324",,Seafood Wholesalers & Distributors
California,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
California,2022,Value Added,With Imports,"1,089,195,206",,Seafood Wholesalers & Distributors
California,2022,Value Added,With Imports,"11,062,743,141",,Total Impacts
California,2022,Value Added,With Imports,"2,196,303,017",,Retail
California,2022,Value Added,With Imports,"211,669,077",,Commercial Harvesters
California,2022,Value Added,With Imports,"318,618,618",,Seafood Processors & Dealers
California,2022,Value Added,With Imports,"7,246,957,223",,Importers
California,2022,Value Added,Without Imports,"211,669,077",,Commercial Harvesters
California,2022,Value Added,Without Imports,"239,734,614",,Retail
California,2022,Value Added,Without Imports,"40,600,505",,Seafood Wholesalers & Distributors
California,2022,Value Added,Without Imports,"583,454,216",,Total Impacts
California,2022,Value Added,Without Imports,"91,450,019",,Seafood Processors & Dealers
California,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Connecticut,2022,#Jobs,With Imports,"1,419",,Retail
Connecticut,2022,#Jobs,With Imports,"2,356",,Importers
Connecticut,2022,#Jobs,With Imports,"4,771",,Total Impacts
Connecticut,2022,#Jobs,With Imports,187,,Seafood Processors & Dealers
Connecticut,2022,#Jobs,With Imports,335,,Seafood Wholesalers & Distributors
Connecticut,2022,#Jobs,With Imports,474,,Commercial Harvesters
Connecticut,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Connecticut,2022,#Jobs,Without Imports,19,,Seafood Wholesalers & Distributors
Connecticut,2022,#Jobs,Without Imports,367,,Retail
Connecticut,2022,#Jobs,Without Imports,474,,Commercial Harvesters
Connecticut,2022,#Jobs,Without Imports,59,,Seafood Processors & Dealers
Connecticut,2022,#Jobs,Without Imports,919,,Total Impacts
Connecticut,2022,Income,With Imports,"103,846,723",,Importers
Connecticut,2022,Income,With Imports,"167,299,194",,Total Impacts
Connecticut,2022,Income,With Imports,"17,386,423",,Seafood Wholesalers & Distributors
Connecticut,2022,Income,With Imports,"31,035,618",,Retail
Connecticut,2022,Income,With Imports,"7,354,185",,Seafood Processors & Dealers
Connecticut,2022,Income,With Imports,"7,676,245",,Commercial Harvesters
Connecticut,2022,Income,Without Imports,"18,467,027",,Total Impacts
Connecticut,2022,Income,Without Imports,"2,313,386",,Seafood Processors & Dealers
Connecticut,2022,Income,Without Imports,"7,513,551",,Retail
Connecticut,2022,Income,Without Imports,"7,676,245",,Commercial Harvesters
Connecticut,2022,Income,Without Imports,"963,845",,Seafood Wholesalers & Distributors
Connecticut,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Connecticut,2022,Sales,With Imports,"19,257,491",,Seafood Processors & Dealers
Connecticut,2022,Sales,With Imports,"27,986,347",,Commercial Harvesters
Connecticut,2022,Sales,With Imports,"53,117,659",,Seafood Wholesalers & Distributors
Connecticut,2022,Sales,With Imports,"647,952,340",,Importers
Connecticut,2022,Sales,With Imports,"70,204,463",,Retail
Connecticut,2022,Sales,With Imports,"818,518,299",,Total Impacts
Connecticut,2022,Sales,Without Imports,"17,306,339",,Retail
Connecticut,2022,Sales,Without Imports,"2,944,660",,Seafood Wholesalers & Distributors
Connecticut,2022,Sales,Without Imports,"27,986,347",,Commercial Harvesters
Connecticut,2022,Sales,Without Imports,"54,295,122",,Total Impacts
Connecticut,2022,Sales,Without Imports,"6,057,776",,Seafood Processors & Dealers
Connecticut,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Connecticut,2022,Value Added,With Imports,"11,827,146",,Commercial Harvesters
Connecticut,2022,Value Added,With Imports,"197,524,243",,Importers
Connecticut,2022,Value Added,With Imports,"23,360,017",,Seafood Wholesalers & Distributors
Connecticut,2022,Value Added,With Imports,"282,070,248",,Total Impacts
Connecticut,2022,Value Added,With Imports,"39,852,131",,Retail
Connecticut,2022,Value Added,With Imports,"9,506,711",,Seafood Processors & Dealers
Connecticut,2022,Value Added,Without Imports,"1,295,000",,Seafood Wholesalers & Distributors
Connecticut,2022,Value Added,Without Imports,"11,827,146",,Commercial Harvesters
Connecticut,2022,Value Added,Without Imports,"2,990,500",,Seafood Processors & Dealers
Connecticut,2022,Value Added,Without Imports,"25,816,806",,Total Impacts
Connecticut,2022,Value Added,Without Imports,"9,704,159",,Retail
Connecticut,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Delaware,2022,#Jobs,With Imports,"1,085",,Total Impacts
Delaware,2022,#Jobs,With Imports,107,,Seafood Processors & Dealers
Delaware,2022,#Jobs,With Imports,251,,Retail
Delaware,2022,#Jobs,With Imports,303,,Importers
Delaware,2022,#Jobs,With Imports,332,,Commercial Harvesters
Delaware,2022,#Jobs,With Imports,92,,Seafood Wholesalers & Distributors
Delaware,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Delaware,2022,#Jobs,Without Imports,218,,Retail
Delaware,2022,#Jobs,Without Imports,332,,Commercial Harvesters
Delaware,2022,#Jobs,Without Imports,42,,Seafood Wholesalers & Distributors
Delaware,2022,#Jobs,Without Imports,63,,Seafood Processors & Dealers
Delaware,2022,#Jobs,Without Imports,654,,Total Impacts
Delaware,2022,Income,With Imports,"13,377,123",,Importers
Delaware,2022,Income,With Imports,"3,337,530",,Seafood Processors & Dealers
Delaware,2022,Income,With Imports,"33,780,971",,Total Impacts
Delaware,2022,Income,With Imports,"4,674,488",,Seafood Wholesalers & Distributors
Delaware,2022,Income,With Imports,"5,561,308",,Retail
Delaware,2022,Income,With Imports,"6,830,520",,Commercial Harvesters
Delaware,2022,Income,Without Imports,"1,955,387",,Seafood Processors & Dealers
Delaware,2022,Income,Without Imports,"15,736,730",,Total Impacts
Delaware,2022,Income,Without Imports,"2,134,121",,Seafood Wholesalers & Distributors
Delaware,2022,Income,Without Imports,"4,816,701",,Retail
Delaware,2022,Income,Without Imports,"6,830,520",,Commercial Harvesters
Delaware,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Delaware,2022,Sales,With Imports,"12,293,490",,Seafood Wholesalers & Distributors
Delaware,2022,Sales,With Imports,"176,054,099",,Total Impacts
Delaware,2022,Sales,With Imports,"18,969,720",,Seafood Processors & Dealers
Delaware,2022,Sales,With Imports,"28,705,819",,Commercial Harvesters
Delaware,2022,Sales,With Imports,"32,618,416",,Retail
Delaware,2022,Sales,With Imports,"83,466,654",,Importers
Delaware,2022,Sales,Without Imports,"11,113,949",,Seafood Processors & Dealers
Delaware,2022,Sales,Without Imports,"28,286,722",,Retail
Delaware,2022,Sales,Without Imports,"28,705,819",,Commercial Harvesters
Delaware,2022,Sales,Without Imports,"5,612,473",,Seafood Wholesalers & Distributors
Delaware,2022,Sales,Without Imports,"73,718,963",,Total Impacts
Delaware,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Delaware,2022,Value Added,With Imports,"10,971,341",,Retail
Delaware,2022,Value Added,With Imports,"25,444,290",,Importers
Delaware,2022,Value Added,With Imports,"5,572,956",,Seafood Wholesalers & Distributors
Delaware,2022,Value Added,With Imports,"57,654,233",,Total Impacts
Delaware,2022,Value Added,With Imports,"6,416,494",,Seafood Processors & Dealers
Delaware,2022,Value Added,With Imports,"9,249,152",,Commercial Harvesters
Delaware,2022,Value Added,Without Imports,"2,544,285",,Seafood Wholesalers & Distributors
Delaware,2022,Value Added,Without Imports,"25,048,749",,Total Impacts
Delaware,2022,Value Added,Without Imports,"3,759,286",,Seafood Processors & Dealers
Delaware,2022,Value Added,Without Imports,"9,249,152",,Commercial Harvesters
Delaware,2022,Value Added,Without Imports,"9,496,026",,Retail
Delaware,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Georgia,2022,#Jobs,With Imports,"10,341",,Retail
Georgia,2022,#Jobs,With Imports,"10,665",,Importers
Georgia,2022,#Jobs,With Imports,"2,121",,Seafood Processors & Dealers
Georgia,2022,#Jobs,With Imports,"2,220",,Seafood Wholesalers & Distributors
Georgia,2022,#Jobs,With Imports,"25,840",,Total Impacts
Georgia,2022,#Jobs,With Imports,494,,Commercial Harvesters
Georgia,2022,#Jobs,Without Imports,"1,164",,Total Impacts
Georgia,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Georgia,2022,#Jobs,Without Imports,113,,Seafood Processors & Dealers
Georgia,2022,#Jobs,Without Imports,36,,Seafood Wholesalers & Distributors
Georgia,2022,#Jobs,Without Imports,494,,Commercial Harvesters
Georgia,2022,#Jobs,Without Imports,522,,Retail
Georgia,2022,Income,With Imports,"192,642,140",,Retail
Georgia,2022,Income,With Imports,"470,198,854",,Importers
Georgia,2022,Income,With Imports,"6,253,305",,Commercial Harvesters
Georgia,2022,Income,With Imports,"63,830,448",,Seafood Processors & Dealers
Georgia,2022,Income,With Imports,"826,286,972",,Total Impacts
Georgia,2022,Income,With Imports,"93,362,225",,Seafood Wholesalers & Distributors
Georgia,2022,Income,Without Imports,"1,495,343",,Seafood Wholesalers & Distributors
Georgia,2022,Income,Without Imports,"20,630,417",,Total Impacts
Georgia,2022,Income,Without Imports,"3,401,356",,Seafood Processors & Dealers
Georgia,2022,Income,Without Imports,"6,253,305",,Commercial Harvesters
Georgia,2022,Income,Without Imports,"9,480,413",,Retail
Georgia,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Georgia,2022,Sales,With Imports,"165,625,492",,Seafood Processors & Dealers
Georgia,2022,Sales,With Imports,"17,633,169",,Commercial Harvesters
Georgia,2022,Sales,With Imports,"2,933,808,982",,Importers
Georgia,2022,Sales,With Imports,"270,718,214",,Seafood Wholesalers & Distributors
Georgia,2022,Sales,With Imports,"3,830,171,707",,Total Impacts
Georgia,2022,Sales,With Imports,"442,385,849",,Retail
Georgia,2022,Sales,Without Imports,"17,633,169",,Commercial Harvesters
Georgia,2022,Sales,Without Imports,"21,987,604",,Retail
Georgia,2022,Sales,Without Imports,"4,336,022",,Seafood Wholesalers & Distributors
Georgia,2022,Sales,Without Imports,"52,782,542",,Total Impacts
Georgia,2022,Sales,Without Imports,"8,825,746",,Seafood Processors & Dealers
Georgia,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Georgia,2022,Value Added,With Imports,"1,374,987,995",,Total Impacts
Georgia,2022,Value Added,With Imports,"131,202,100",,Seafood Wholesalers & Distributors
Georgia,2022,Value Added,With Imports,"256,228,141",,Retail
Georgia,2022,Value Added,With Imports,"8,947,493",,Commercial Harvesters
Georgia,2022,Value Added,With Imports,"84,256,831",,Seafood Processors & Dealers
Georgia,2022,Value Added,With Imports,"894,353,431",,Importers
Georgia,2022,Value Added,Without Imports,"12,661,645",,Retail
Georgia,2022,Value Added,Without Imports,"2,101,408",,Seafood Wholesalers & Distributors
Georgia,2022,Value Added,Without Imports,"28,200,370",,Total Impacts
Georgia,2022,Value Added,Without Imports,"4,489,825",,Seafood Processors & Dealers
Georgia,2022,Value Added,Without Imports,"8,947,493",,Commercial Harvesters
Georgia,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Hawaii,2022,#Jobs,With Imports,"1,153",,Importers
Hawaii,2022,#Jobs,With Imports,"10,229",,Total Impacts
Hawaii,2022,#Jobs,With Imports,"3,149",,Retail
Hawaii,2022,#Jobs,With Imports,"4,548",,Commercial Harvesters
Hawaii,2022,#Jobs,With Imports,512,,Seafood Wholesalers & Distributors
Hawaii,2022,#Jobs,With Imports,867,,Seafood Processors & Dealers
Hawaii,2022,#Jobs,Without Imports,"2,823",,Retail
Hawaii,2022,#Jobs,Without Imports,"4,548",,Commercial Harvesters
Hawaii,2022,#Jobs,Without Imports,"8,149",,Total Impacts
Hawaii,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Hawaii,2022,#Jobs,Without Imports,254,,Seafood Wholesalers & Distributors
Hawaii,2022,#Jobs,Without Imports,525,,Seafood Processors & Dealers
Hawaii,2022,Income,With Imports,"16,895,045",,Seafood Wholesalers & Distributors
Hawaii,2022,Income,With Imports,"249,573,394",,Total Impacts
Hawaii,2022,Income,With Imports,"29,854,686",,Seafood Processors & Dealers
Hawaii,2022,Income,With Imports,"50,829,959",,Importers
Hawaii,2022,Income,With Imports,"69,568,816",,Retail
Hawaii,2022,Income,With Imports,"82,424,887",,Commercial Harvesters
Hawaii,2022,Income,Without Imports,"170,779,597",,Total Impacts
Hawaii,2022,Income,Without Imports,"18,084,587",,Seafood Processors & Dealers
Hawaii,2022,Income,Without Imports,"61,897,219",,Retail
Hawaii,2022,Income,Without Imports,"8,372,903",,Seafood Wholesalers & Distributors
Hawaii,2022,Income,Without Imports,"82,424,887",,Commercial Harvesters
Hawaii,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Hawaii,2022,Sales,With Imports,"157,978,250",,Retail
Hawaii,2022,Sales,With Imports,"224,978,831",,Commercial Harvesters
Hawaii,2022,Sales,With Imports,"317,153,878",,Importers
Hawaii,2022,Sales,With Imports,"48,171,413",,Seafood Wholesalers & Distributors
Hawaii,2022,Sales,With Imports,"75,419,428",,Seafood Processors & Dealers
Hawaii,2022,Sales,With Imports,"823,701,800",,Total Impacts
Hawaii,2022,Sales,Without Imports,"141,134,510",,Retail
Hawaii,2022,Sales,Without Imports,"224,978,831",,Commercial Harvesters
Hawaii,2022,Sales,Without Imports,"23,872,954",,Seafood Wholesalers & Distributors
Hawaii,2022,Sales,Without Imports,"435,671,894",,Total Impacts
Hawaii,2022,Sales,Without Imports,"45,685,599",,Seafood Processors & Dealers
Hawaii,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Hawaii,2022,Value Added,With Imports,"118,252,221",,Commercial Harvesters
Hawaii,2022,Value Added,With Imports,"22,475,335",,Seafood Wholesalers & Distributors
Hawaii,2022,Value Added,With Imports,"366,492,019",,Total Impacts
Hawaii,2022,Value Added,With Imports,"38,503,972",,Seafood Processors & Dealers
Hawaii,2022,Value Added,With Imports,"90,578,102",,Retail
Hawaii,2022,Value Added,With Imports,"96,682,388",,Importers
Hawaii,2022,Value Added,Without Imports,"11,138,401",,Seafood Wholesalers & Distributors
Hawaii,2022,Value Added,Without Imports,"118,252,221",,Commercial Harvesters
Hawaii,2022,Value Added,Without Imports,"23,323,924",,Seafood Processors & Dealers
Hawaii,2022,Value Added,Without Imports,"233,410,467",,Total Impacts
Hawaii,2022,Value Added,Without Imports,"80,695,921",,Retail
Hawaii,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Louisiana,2022,#Jobs,With Imports,"1,082",,Seafood Wholesalers & Distributors
Louisiana,2022,#Jobs,With Imports,"13,167",,Commercial Harvesters
Louisiana,2022,#Jobs,With Imports,"14,810",,Retail
Louisiana,2022,#Jobs,With Imports,"2,937",,Seafood Processors & Dealers
Louisiana,2022,#Jobs,With Imports,"32,514",,Total Impacts
Louisiana,2022,#Jobs,With Imports,517,,Importers
Louisiana,2022,#Jobs,Without Imports,"13,167",,Commercial Harvesters
Louisiana,2022,#Jobs,Without Imports,"14,633",,Retail
Louisiana,2022,#Jobs,Without Imports,"2,771",,Seafood Processors & Dealers
Louisiana,2022,#Jobs,Without Imports,"31,553",,Total Impacts
Louisiana,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Louisiana,2022,#Jobs,Without Imports,982,,Seafood Wholesalers & Distributors
Louisiana,2022,Income,With Imports,"216,610,291",,Commercial Harvesters
Louisiana,2022,Income,With Imports,"22,807,468",,Importers
Louisiana,2022,Income,With Imports,"248,491,720",,Retail
Louisiana,2022,Income,With Imports,"39,962,241",,Seafood Wholesalers & Distributors
Louisiana,2022,Income,With Imports,"623,461,885",,Total Impacts
Louisiana,2022,Income,With Imports,"95,590,165",,Seafood Processors & Dealers
Louisiana,2022,Income,Without Imports,"216,610,291",,Commercial Harvesters
Louisiana,2022,Income,Without Imports,"245,144,942",,Retail
Louisiana,2022,Income,Without Imports,"36,279,522",,Seafood Wholesalers & Distributors
Louisiana,2022,Income,Without Imports,"588,204,694",,Total Impacts
Louisiana,2022,Income,Without Imports,"90,169,939",,Seafood Processors & Dealers
Louisiana,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Louisiana,2022,Sales,With Imports,"1,638,431,838",,Total Impacts
Louisiana,2022,Sales,With Imports,"117,305,032",,Seafood Wholesalers & Distributors
Louisiana,2022,Sales,With Imports,"142,307,353",,Importers
Louisiana,2022,Sales,With Imports,"246,443,325",,Seafood Processors & Dealers
Louisiana,2022,Sales,With Imports,"556,518,227",,Retail
Louisiana,2022,Sales,With Imports,"575,857,901",,Commercial Harvesters
Louisiana,2022,Sales,Without Imports,"1,464,126,105",,Total Impacts
Louisiana,2022,Sales,Without Imports,"106,494,794",,Seafood Wholesalers & Distributors
Louisiana,2022,Sales,Without Imports,"232,469,308",,Seafood Processors & Dealers
Louisiana,2022,Sales,Without Imports,"549,304,103",,Retail
Louisiana,2022,Sales,Without Imports,"575,857,901",,Commercial Harvesters
Louisiana,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Louisiana,2022,Value Added,With Imports,"121,929,147",,Seafood Processors & Dealers
Louisiana,2022,Value Added,With Imports,"304,850,288",,Commercial Harvesters
Louisiana,2022,Value Added,With Imports,"315,970,101",,Retail
Louisiana,2022,Value Added,With Imports,"43,381,512",,Importers
Louisiana,2022,Value Added,With Imports,"51,728,795",,Seafood Wholesalers & Distributors
Louisiana,2022,Value Added,With Imports,"837,859,844",,Total Impacts
Louisiana,2022,Value Added,Without Imports,"115,015,427",,Seafood Processors & Dealers
Louisiana,2022,Value Added,Without Imports,"304,850,288",,Commercial Harvesters
Louisiana,2022,Value Added,Without Imports,"311,759,198",,Retail
Louisiana,2022,Value Added,Without Imports,"46,961,717",,Seafood Wholesalers & Distributors
Louisiana,2022,Value Added,Without Imports,"778,586,631",,Total Impacts
Louisiana,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Maine,2022,#Jobs,With Imports,"19,646",,Commercial Harvesters
Maine,2022,#Jobs,With Imports,"2,176",,Seafood Wholesalers & Distributors
Maine,2022,#Jobs,With Imports,"21,080",,Retail
Maine,2022,#Jobs,With Imports,"3,965",,Seafood Processors & Dealers
Maine,2022,#Jobs,With Imports,"4,947",,Importers
Maine,2022,#Jobs,With Imports,"51,814",,Total Impacts
Maine,2022,#Jobs,Without Imports,"1,140",,Seafood Wholesalers & Distributors
Maine,2022,#Jobs,Without Imports,"16,563",,Retail
Maine,2022,#Jobs,Without Imports,"19,646",,Commercial Harvesters
Maine,2022,#Jobs,Without Imports,"3,028",,Seafood Processors & Dealers
Maine,2022,#Jobs,Without Imports,"40,378",,Total Impacts
Maine,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Maine,2022,Income,With Imports,"1,068,338,524",,Total Impacts
Maine,2022,Income,With Imports,"110,600,917",,Seafood Processors & Dealers
Maine,2022,Income,With Imports,"218,077,262",,Importers
Maine,2022,Income,With Imports,"307,435,978",,Commercial Harvesters
Maine,2022,Income,With Imports,"358,152,127",,Retail
Maine,2022,Income,With Imports,"74,072,240",,Seafood Wholesalers & Distributors
