Area,Year,Key Species,Number Of Fish,Hr,Notes
Alabama,2015,Atlantic croaker,"3,467,762",R,
Alabama,2015,Bluefish,"108,848",H,
Alabama,2015,Bluefish,"408,490",R,
Alabama,2015,Kingfish,"1,082,407",H,Kingfish include south kingfish and Gulf kingfish.
Alabama,2015,Kingfish,"370,782",R,
Alabama,2015,Red drum,"412,942",H,
Alabama,2015,Red drum,"493,427",R,
Alabama,2015,Red snapper,"1,366,271",R,
Alabama,2015,Red snapper,"629,849",H,
Alabama,2015,Sand seatrout,"2,315,222",H,
Alabama,2015,Sand seatrout,"714,956",R,
Alabama,2015,Sheepshead,"659,871",R,
Alabama,2015,Sheepshead,"845,177",H,
Alabama,2015,South flounder,"103,928",H,
Alabama,2015,South flounder,"110,286",R,
Alabama,2015,Spanish mackerel,"1,054,448",R,
Alabama,2015,Spanish mackerel,"2,239,864",H,
Alabama,2015,Spotted seatrout,"1,228,449",H,
Alabama,2015,Spotted seatrout,"2,354,486",R,
Alabama,2016,Atlantic croaker,"1,393,172",R,
Alabama,2016,Atlantic croaker,"558,549",H,
Alabama,2016,Bluefish,"3,705,285",R,
Alabama,2016,Bluefish,"690,474",H,
Alabama,2016,Kingfish,"734,491",R,
Alabama,2016,Kingfish,"915,956",H,Kingfish include south kingfish and Gulf kingfish.
Alabama,2016,Red drum,"385,690",H,
Alabama,2016,Red drum,"603,578",R,
Alabama,2016,Red snapper,"2,834,432",R,
Alabama,2016,Red snapper,"646,380",H,
Alabama,2016,Sand seatrout,"1,042,522",R,
Alabama,2016,Sand seatrout,"1,893,918",H,
Alabama,2016,Sheepshead,"282,862",H,
Alabama,2016,Sheepshead,"71,407",R,
Alabama,2016,South flounder,"139,361",H,
Alabama,2016,South flounder,"84,524",R,
Alabama,2016,Spanish mackerel,"1,772,156",H,
Alabama,2016,Spanish mackerel,"354,989",R,
Alabama,2016,Spotted seatrout,"1,464,189",H,
Alabama,2016,Spotted seatrout,"2,710,656",R,
Alabama,2017,Atlantic croaker,"1,522,021",H,
Alabama,2017,Atlantic croaker,"6,100,894",R,
Alabama,2017,Bluefish,"105,177",H,
Alabama,2017,Bluefish,"650,671",R,
Alabama,2017,Kingfish,"1,327,289",R,
Alabama,2017,Kingfish,"1,755,757",H,Kingfish include south kingfish and Gulf kingfish.
Alabama,2017,Red drum,"386,560",H,
Alabama,2017,Red drum,"988,537",R,
Alabama,2017,Red snapper,"1,249,445",H,
Alabama,2017,Red snapper,"2,396,611",R,
Alabama,2017,Sand seatrout,"2,639,374",H,
Alabama,2017,Sand seatrout,"3,300,296",R,
Alabama,2017,Sheepshead,"43,153",R,
Alabama,2017,Sheepshead,"568,746",H,
Alabama,2017,South flounder,"100,668",H,
Alabama,2017,South flounder,"12,214",R,
Alabama,2017,Spanish mackerel,"1,233,042",R,
Alabama,2017,Spanish mackerel,"2,528,964",H,
Alabama,2017,Spotted seatrout,"1,566,762",R,
Alabama,2017,Spotted seatrout,"890,849",H,
Alabama,2018,Atlantic croaker,"1,770,571",H,
Alabama,2018,Atlantic croaker,"4,869,626",R,
Alabama,2018,Bluefish,"558,759",R,
Alabama,2018,Bluefish,"93,059",H,
Alabama,2018,Kingfish,"1,007,900",R,
Alabama,2018,Kingfish,"2,046,670",H,Kingfish include south kingfish and Gulf kingfish.
Alabama,2018,Red drum,"1,297,019",R,
Alabama,2018,Red drum,"377,878",H,
Alabama,2018,Red snapper,"1,720,000",R,
Alabama,2018,Red snapper,"824,374",H,
Alabama,2018,Sand seatrout,"2,268,372",H,
Alabama,2018,Sand seatrout,"651,633",R,
Alabama,2018,Sheepshead,"184,090",R,
Alabama,2018,Sheepshead,"309,660",H,
Alabama,2018,South flounder,"48,945",R,
Alabama,2018,South flounder,"82,989",H,
Alabama,2018,Spanish mackerel,"1,362,272",R,
Alabama,2018,Spanish mackerel,"1,601,487",H,
Alabama,2018,Spotted seatrout,"1,511,295",R,
Alabama,2018,Spotted seatrout,"838,686",H,
Alabama,2019,Atlantic croaker,"3,812,902",R,
Alabama,2019,Atlantic croaker,"765,166",H,
Alabama,2019,Bluefish,"373,332",H,
Alabama,2019,Bluefish,"771,710",R,
Alabama,2019,Kingfish,"1,324,551",R,
Alabama,2019,Kingfish,"644,985",H,Kingfish include south kingfish and Gulf kingfish.
Alabama,2019,Red drum,"357,684",H,
Alabama,2019,Red drum,"750,614",R,
Alabama,2019,Red snapper,"1,877,904",R,
Alabama,2019,Red snapper,"966,990",H,
Alabama,2019,Sand seatrout,"1,163,865",R,
Alabama,2019,Sand seatrout,"1,543,315",H,
Alabama,2019,Sheepshead,"214,357",H,
Alabama,2019,Sheepshead,"308,617",R,
Alabama,2019,South flounder,"25,305",H,
Alabama,2019,South flounder,"3,488",R,
Alabama,2019,Spanish mackerel,"3,752,010",H,
Alabama,2019,Spanish mackerel,"3,984,615",R,
Alabama,2019,Spotted seatrout,"285,221",H,
Alabama,2019,Spotted seatrout,"887,292",R,
Alabama,2020,Atlantic croaker,"3,125,848",R,
Alabama,2020,Atlantic croaker,"726,752",H,
Alabama,2020,Bluefish,"1,044,394",H,
Alabama,2020,Bluefish,"945,922",R,
Alabama,2020,Kingfish,"388,138",R,
Alabama,2020,Kingfish,"524,345",H,Kingfish include south kingfish and Gulf kingfish.
Alabama,2020,Red drum,"223,862",H,
Alabama,2020,Red drum,"726,769",R,
Alabama,2020,Red snapper,"1,575,385",R,
Alabama,2020,Red snapper,"861,954",H,
Alabama,2020,Sand seatrout,"1,318,738",H,
Alabama,2020,Sand seatrout,"887,348",R,
Alabama,2020,Sheepshead,"363,310",R,
Alabama,2020,Sheepshead,"544,459",H,
Alabama,2020,South flounder,"40,525",H,
Alabama,2020,South flounder,"6,011",R,
Alabama,2020,Spanish mackerel,"168,077",R,
Alabama,2020,Spanish mackerel,"595,507",H,
Alabama,2020,Spotted seatrout,"1,071,745",R,
Alabama,2020,Spotted seatrout,"267,050",H,
Alabama,2021,Atlantic croaker,"1,990,093",R,
Alabama,2021,Atlantic croaker,"616,098",H,
Alabama,2021,Bluefish,"339,641",R,
Alabama,2021,Bluefish,"47,391",H,
Alabama,2021,Kingfish,"1,164,733",H,Kingfish include south kingfish and Gulf kingfish.
Alabama,2021,Kingfish,"698,253",R,
Alabama,2021,Red drum,"171,593",H,
Alabama,2021,Red drum,"265,604",R,
Alabama,2021,Red snapper,"1,077,185",R,
Alabama,2021,Red snapper,"506,470",H,
Alabama,2021,Sand seatrout,"1,195,575",H,
Alabama,2021,Sand seatrout,"494,095",R,
Alabama,2021,Sheepshead,"515,304",H,
Alabama,2021,Sheepshead,"55,298",R,
Alabama,2021,South flounder,"33,308",H,
Alabama,2021,South flounder,"50,177",R,
Alabama,2021,Spanish mackerel,"235,202",R,
Alabama,2021,Spanish mackerel,"839,096",H,
Alabama,2021,Spotted seatrout,"350,845",H,
Alabama,2021,Spotted seatrout,"952,330",R,
Alabama,2022,Atlantic croaker,"3,643,300",R,
Alabama,2022,Atlantic croaker,"939,282",H,
Alabama,2022,Bluefish,"206,070",H,
Alabama,2022,Bluefish,"423,379",R,
Alabama,2022,Kingfish,"1,453,882",H,Kingfish include south kingfish and Gulf kingfish.
Alabama,2022,Kingfish,"998,511",R,
Alabama,2022,Red drum,"185,255",H,
Alabama,2022,Red drum,"420,605",R,
Alabama,2022,Red snapper,"2,180,572",R,
Alabama,2022,Red snapper,"626,458",H,
Alabama,2022,Sand seatrout,"1,211,120",R,
Alabama,2022,Sand seatrout,"1,299,161",H,
Alabama,2022,Sheepshead,"336,095",R,
Alabama,2022,Sheepshead,"582,606",H,
Alabama,2022,South flounder,"208,252",H,
Alabama,2022,South flounder,"223,689",R,
Alabama,2022,Spanish mackerel,"419,337",R,
Alabama,2022,Spanish mackerel,"816,084",H,
Alabama,2022,Spotted seatrout,"1,176,722",R,
Alabama,2022,Spotted seatrout,"322,257",H,
Alaska,2013,Chinook salmon,"120,366",R,
Alaska,2013,Chinook salmon,"80,788",H,
Alaska,2013,Chum salmon,"25,313",H,
Alaska,2013,Chum salmon,"38,746",R,
Alaska,2013,Coho salmon,"121,750",R,
Alaska,2013,Coho salmon,"492,638",H,
Alaska,2013,Lingcod,"33,000",R,
Alaska,2013,Lingcod,"34,091",H,
Alaska,2013,Pacific cod,"37,792",H,
Alaska,2013,Pacific cod,"47,620",R,
Alaska,2013,Pacific halibut,"323,558",R,
Alaska,2013,Pacific halibut,"453,594",H,
Alaska,2013,Pink salmon,"113,022",H,
Alaska,2013,Pink salmon,"203,267",R,
Alaska,2013,Rockfish species,"121,489",R,
Alaska,2013,Rockfish species,"256,085",H,
Alaska,2013,Sablefish/black cod,"17,988",H,
Alaska,2013,Sablefish/black cod,"6,248",R,
Alaska,2013,Sockeye salmon,"13,168",R,
Alaska,2013,Sockeye salmon,"40,337",H,
Alaska,2014,Chinook salmon,"110,832",H,
Alaska,2014,Chinook salmon,"94,103",R,
Alaska,2014,Chum salmon,"11,571",H,
Alaska,2014,Chum salmon,"19,293",R,
Alaska,2014,Coho salmon,"389,501",H,
Alaska,2014,Coho salmon,"60,146",R,
Alaska,2014,Lingcod,"29,497",R,
Alaska,2014,Lingcod,"32,317",H,
Alaska,2014,Pacific cod,"60,704",H,
Alaska,2014,Pacific cod,"72,916",R,
Alaska,2014,Pacific halibut,"250,540",R,
Alaska,2014,Pacific halibut,"407,975",H,
Alaska,2014,Pink salmon,"117,789",R,
Alaska,2014,Pink salmon,"69,164",H,
Alaska,2014,Rockfish species,"148,213",R,
Alaska,2014,Rockfish species,"334,906",H,
Alaska,2014,Sablefish/black cod,"12,410",H,
Alaska,2014,Sablefish/black cod,"5,817",R,
Alaska,2014,Sockeye salmon,"11,809",R,
Alaska,2014,Sockeye salmon,"34,892",H,
Alaska,2015,Chinook salmon,"110,503",H,
Alaska,2015,Chinook salmon,"115,774",R,
Alaska,2015,Chum salmon,"13,355",H,
Alaska,2015,Chum salmon,"25,274",R,
Alaska,2015,Coho salmon,"479,161",H,
Alaska,2015,Coho salmon,"98,866",R,
Alaska,2015,Lingcod,"27,096",R,
Alaska,2015,Lingcod,"27,771",H,
Alaska,2015,Pacific cod,"58,189",H,
Alaska,2015,Pacific cod,"74,977",R,
Alaska,2015,Pacific halibut,"271,182",R,
Alaska,2015,Pacific halibut,"420,484",H,
Alaska,2015,Pink salmon,"110,004",H,
Alaska,2015,Pink salmon,"204,049",R,
Alaska,2015,Rockfish species,"143,039",R,
Alaska,2015,Rockfish species,"331,673",H,
Alaska,2015,Sablefish/black cod,"12,904",R,
Alaska,2015,Sablefish/black cod,"23,274",H,
Alaska,2015,Sockeye salmon,"32,554",H,
Alaska,2015,Sockeye salmon,"8,563",R,
Alaska,2016,Chinook salmon,"100,902",H,
Alaska,2016,Chinook salmon,"86,577",R,
Alaska,2016,Chum salmon,"10,322",H,
Alaska,2016,Chum salmon,"22,244",R,
Alaska,2016,Coho salmon,"263,318",H,
Alaska,2016,Coho salmon,"41,297",R,
Alaska,2016,Lingcod,"22,538",R,
Alaska,2016,Lingcod,"25,613",H,
Alaska,2016,Pacific cod,"43,206",R,
Alaska,2016,Pacific cod,"43,516",H,
Alaska,2016,Pacific halibut,"243,623",R,
Alaska,2016,Pacific halibut,"399,635",H,
Alaska,2016,Pink salmon,"103,444",H,
Alaska,2016,Pink salmon,"126,042",R,
Alaska,2016,Rockfish species,"156,825",R,
Alaska,2016,Rockfish species,"347,438",H,
Alaska,2016,Sablefish/black cod,"15,351",H,
Alaska,2016,Sablefish/black cod,"3,591",R,
Alaska,2016,Sockeye salmon,"34,453",H,
Alaska,2016,Sockeye salmon,"6,620",R,
Alaska,2017,Chinook salmon,"106,497",R,
Alaska,2017,Chinook salmon,"84,997",H,
Alaska,2017,Chum salmon,"10,307",H,
Alaska,2017,Chum salmon,"21,726",R,
Alaska,2017,Coho salmon,"467,987",H,
Alaska,2017,Coho salmon,"71,132",R,
Alaska,2017,Lingcod,"22,258",H,
Alaska,2017,Lingcod,"26,932",R,
Alaska,2017,Pacific cod,"19,837",H,
Alaska,2017,Pacific cod,"23,667",R,
Alaska,2017,Pacific halibut,"199,146",R,
Alaska,2017,Pacific halibut,"352,454",H,
Alaska,2017,Pink salmon,"101,584",H,
Alaska,2017,Pink salmon,"170,481",R,
Alaska,2017,Rockfish species,"128,565",R,
Alaska,2017,Rockfish species,"278,635",H,
Alaska,2017,Sablefish/black cod,"22,093",H,
Alaska,2017,Sablefish/black cod,"5,947",R,
Alaska,2017,Sockeye salmon,"10,152",R,
Alaska,2017,Sockeye salmon,"35,784",H,
Alaska,2018,Chinook salmon,"61,588",H,
Alaska,2018,Chinook salmon,"73,858",R,
Alaska,2018,Chum salmon,"15,991",R,
Alaska,2018,Chum salmon,"5,778",H,
Alaska,2018,Coho salmon,"296,866",H,
Alaska,2018,Coho salmon,"45,066",R,
Alaska,2018,Lingcod,"28,676",H,
Alaska,2018,Lingcod,"43,336",R,
Alaska,2018,Pacific cod,"12,353",R,
Alaska,2018,Pacific cod,"14,957",H,
Alaska,2018,Pacific halibut,"184,470",R,
Alaska,2018,Pacific halibut,"351,842",H,
Alaska,2018,Pink salmon,"103,688",R,
Alaska,2018,Pink salmon,"69,916",H,
Alaska,2018,Rockfish species,"150,486",R,
Alaska,2018,Rockfish species,"309,117",H,
Alaska,2018,Sablefish/black cod,"26,255",H,
Alaska,2018,Sablefish/black cod,"7,597",R,
Alaska,2018,Sockeye salmon,"38,229",H,
Alaska,2018,Sockeye salmon,"7,126",R,
Alaska,2019,Chinook salmon,"64,104",H,
Alaska,2019,Chinook salmon,"91,762",R,
Alaska,2019,Chum salmon,"11,438",H,
Alaska,2019,Chum salmon,"29,496",R,
Alaska,2019,Coho salmon,"338,494",H,
Alaska,2019,Coho salmon,"56,833",R,
Alaska,2019,Lingcod,"28,343",H,
Alaska,2019,Lingcod,"40,674",R,
Alaska,2019,Pacific cod,"18,020",R,
Alaska,2019,Pacific cod,"25,564",H,
Alaska,2019,Pacific halibut,"185,385",R,
Alaska,2019,Pacific halibut,"351,779",H,
Alaska,2019,Pink salmon,"120,548",H,
Alaska,2019,Pink salmon,"150,504",R,
Alaska,2019,Rockfish species,"190,672",R,
Alaska,2019,Rockfish species,"330,473",H,
Alaska,2019,Sablefish/black cod,"25,802",H,
Alaska,2019,Sablefish/black cod,"8,357",R,
Alaska,2019,Sockeye salmon,"11,466",R,
Alaska,2019,Sockeye salmon,"57,375",H,
Alaska,2020,Chinook salmon,"64,476",R,
Alaska,2020,Chinook salmon,"73,641",H,
Alaska,2020,Chum salmon,"12,723",R,
Alaska,2020,Chum salmon,"6,284",H,
Alaska,2020,Coho salmon,"199,790",H,
Alaska,2020,Coho salmon,"38,152",R,
Alaska,2020,Lingcod,"22,852",H,
Alaska,2020,Lingcod,"27,237",R,
Alaska,2020,Pacific cod,"23,291",H,
Alaska,2020,Pacific cod,"23,544",R,
Alaska,2020,Pacific halibut,"129,679",R,
Alaska,2020,Pacific halibut,"260,791",H,
Alaska,2020,Pink salmon,"70,460",H,
Alaska,2020,Pink salmon,"96,812",R,
Alaska,2020,Rockfish species,"125,609",R,
Alaska,2020,Rockfish species,"195,572",H,
Alaska,2020,Sablefish/black cod,"10,238",H,
Alaska,2020,Sablefish/black cod,"4,278",R,
Alaska,2020,Sockeye salmon,"37,839",H,
Alaska,2020,Sockeye salmon,"7,133",R,
Alaska,2021,Chinook salmon,"114,201",R,
Alaska,2021,Chinook salmon,"80,657",H,
Alaska,2021,Chum salmon,"10,504",H,
Alaska,2021,Chum salmon,"16,790",R,
Alaska,2021,Coho salmon,"387,480",H,
Alaska,2021,Coho salmon,"73,696",R,
Alaska,2021,Lingcod,"39,503",H,
Alaska,2021,Lingcod,"46,389",R,
Alaska,2021,Pacific cod,"28,418",R,
Alaska,2021,Pacific cod,"60,281",H,
Alaska,2021,Pacific halibut,"201,447",R,
Alaska,2021,Pacific halibut,"386,432",H,
Alaska,2021,Pink salmon,"134,906",H,
Alaska,2021,Pink salmon,"211,337",R,
Alaska,2021,Rockfish species,"196,102",R,
Alaska,2021,Rockfish species,"347,410",H,
Alaska,2021,Sablefish/black cod,"23,783",H,
Alaska,2021,Sablefish/black cod,"6,904",R,
Alaska,2021,Sockeye salmon,"17,669",R,
Alaska,2021,Sockeye salmon,"59,318",H,
Alaska,2022,Chinook salmon,"70,510",H,
Alaska,2022,Chinook salmon,"92,630",R,
Alaska,2022,Chum salmon,"18,725",H,
Alaska,2022,Chum salmon,"24,121",R,
Alaska,2022,Coho salmon,"334,482",H,
Alaska,2022,Coho salmon,"50,032",R,
Alaska,2022,Lingcod,"40,567",H,
Alaska,2022,Lingcod,"42,959",R,
Alaska,2022,Pacific cod,"35,200",R,
Alaska,2022,Pacific cod,"52,564",H,
Alaska,2022,Pacific halibut,"190,572",R,
Alaska,2022,Pacific halibut,"349,725",H,
Alaska,2022,Pink salmon,"114,456",H,
Alaska,2022,Pink salmon,"144,617",R,
Alaska,2022,Rockfish species,"182,224",R,
Alaska,2022,Rockfish species,"380,379",H,
Alaska,2022,Sablefish/black cod,"30,869",H,
Alaska,2022,Sablefish/black cod,"7,895",R,
Alaska,2022,Sockeye salmon,"68,595",H,
Alaska,2022,Sockeye salmon,"8,607",R,
California,2013,"Barracuda, bass and bonito","1,165,893",R,
California,2013,"Barracuda, bass and bonito","142,936",H,"Barracuda, bass and bonito include grouper genus (epinephelus), broomtail grouper, sandbass genus, kelp bass, spotted sandbass, barred sandbass, giant seabass, Pacific barracuda, hookthroat bass, and threadfin bass.|This species may not be equivalent to species with similar names listed in the commercial tables."
California,2013,Bluefin tuna,"6,473",H,
California,2013,Bluefin tuna,56,R,
California,2013,California and other scorpionfish,"222,715",H,California and other scorpionfish include scorpionfish family and California scorpionfish.
California,2013,California and other scorpionfish,"278,651",R,
California,2013,California halibut and other flatfishes,"417,323",R,
California,2013,California halibut and other flatfishes,"627,020",H,"California halibut and other flatfishes include unidentified flounder or sole, flatfish order, lefteye flounder family, whiff genus, sanddab genus, Pacific sanddab, speckled sanddab, longfin sanddab, California halibut, bigmouth sole, fantail sole, righteye flounder family, arrowtooth flounder, petrale sole, rex sole, flathead sole, butter sole, rock sole, dover sole, english sole, starry flounder, c-o sole, curlfin sole, spotted turbot, hornyhead turbot, sand sole, Pacific halibut, and diamond turbot."
California,2013,Lingcod,"143,046",H,
California,2013,Lingcod,"154,413",R,
California,2013,Mackerels,"332,871",R,
California,2013,Mackerels,"580,955",H,"Mackerels include mackerel family, Pacific (chub) mackerel, chub mackerel, bullet mackerel, and frigate mackerel."
California,2013,Rockfishes,"2,655,895",H,"Rockfishes include rockfish species, rockfish genus, Pacific ocean perch, brown rockfish, redbanded rockfish, silvergray rockfish, copper rockfish, darkblotched rockfish, greenstriped rockfish, widow rockfish, yellowtail rockfish, chilipepper, rosethorn rockfish, quillback rockfish, black rockfish, vermilion rockfish, blue rockfish, china rockfish, tiger rockfish, bocaccio, canary rockfish, redstripe rockfish, yellowmouth rockfish, rosy rockfish, yelloweye rockfish, stripetail rockfish, black and yellow rockfish, kelp rockfish, greenspotted rockfish, starry rockfish, calico rockfish, bronzespotted rockfish, squarespot rockfish, cowcod, mexican rockfish, speckled rockfish, grass rockfish, flag rockfish, bank rockfish, halfbanded rockfish, olive rockfish, treefish, honeycomb rockfish, gopher rockfish, swordspine rockfish, freckled rockfish, pinkrose rockfish, greenblotched rockfish, shortspine thornyhead, deacon rockfish, and deacon/blue rockfish unknown.|This species may not be equivalent to species with similar names listed in the commercial tables."
California,2013,Rockfishes,"894,797",R,
California,2013,Salmon,"116,435",H,"Salmon include pink salmon, chum salmon, coho salmon, sockeye salmon, and Chinook salmon.|Salmon harvest estimates exclude release mortality."
California,2013,Salmon,0,R,
California,2013,Surfperches,"807,404",H,"Surfperches include surfperch family, kelp perch, shiner perch, striped seaperch, black perch, walleye surfperch, silver surfperch, spotfin surfperch, white seaperch, sharpnose seaperch, pile perch, rubberlip seaperch, redtail surfperch, barred surfperch, calico surfperch, rainbow seaperch, dwarf perch, and pink seaperch."
California,2013,Surfperches,"820,323",R,
California,2013,Yellowfin tuna,"3,641",H,
California,2013,Yellowfin tuna,30,R,
California,2014,"Barracuda, bass and bonito","1,225,372",R,
California,2014,"Barracuda, bass and bonito","135,960",H,"Barracuda, bass and bonito include grouper genus (epinephelus), broomtail grouper, sandbass genus, kelp bass, spotted sandbass, barred sandbass, giant seabass, Pacific barracuda, hookthroat bass, and threadfin bass.|This species may not be equivalent to species with similar names listed in the commercial tables."
California,2014,Bluefin tuna,"18,424",H,
California,2014,Bluefin tuna,302,R,
California,2014,California and other scorpionfish,"164,910",H,California and other scorpionfish include scorpionfish family and California scorpionfish.
California,2014,California and other scorpionfish,"175,057",R,
California,2014,California halibut and other flatfishes,"250,827",R,
California,2014,California halibut and other flatfishes,"591,796",H,"California halibut and other flatfishes include unidentified flounder or sole, flatfish order, lefteye flounder family, whiff genus, sanddab genus, Pacific sanddab, speckled sanddab, longfin sanddab, California halibut, bigmouth sole, fantail sole, righteye flounder family, arrowtooth flounder, petrale sole, rex sole, flathead sole, butter sole, rock sole, dover sole, english sole, starry flounder, c-o sole, curlfin sole, spotted turbot, hornyhead turbot, sand sole, Pacific halibut, and diamond turbot."
California,2014,Lingcod,"138,824",R,
California,2014,Lingcod,"164,728",H,
California,2014,Mackerels,"590,658",R,
California,2014,Mackerels,"907,719",H,"Mackerels include mackerel family, Pacific (chub) mackerel, chub mackerel, bullet mackerel, and frigate mackerel."
California,2014,Rockfishes,"2,236,278",H,"Rockfishes include rockfish species, rockfish genus, Pacific ocean perch, brown rockfish, redbanded rockfish, silvergray rockfish, copper rockfish, darkblotched rockfish, greenstriped rockfish, widow rockfish, yellowtail rockfish, chilipepper, rosethorn rockfish, quillback rockfish, black rockfish, vermilion rockfish, blue rockfish, china rockfish, tiger rockfish, bocaccio, canary rockfish, redstripe rockfish, yellowmouth rockfish, rosy rockfish, yelloweye rockfish, stripetail rockfish, black and yellow rockfish, kelp rockfish, greenspotted rockfish, starry rockfish, calico rockfish, bronzespotted rockfish, squarespot rockfish, cowcod, mexican rockfish, speckled rockfish, grass rockfish, flag rockfish, bank rockfish, halfbanded rockfish, olive rockfish, treefish, honeycomb rockfish, gopher rockfish, swordspine rockfish, freckled rockfish, pinkrose rockfish, greenblotched rockfish, shortspine thornyhead, deacon rockfish, and deacon/blue rockfish unknown.|This species may not be equivalent to species with similar names listed in the commercial tables."
California,2014,Rockfishes,"700,222",R,
California,2014,Salmon,"75,319",H,"Salmon include pink salmon, chum salmon, coho salmon, sockeye salmon, and Chinook salmon.|Salmon harvest estimates exclude release mortality."
California,2014,Salmon,0,R,
California,2014,Surfperches,"1,004,688",R,
California,2014,Surfperches,"974,903",H,"Surfperches include surfperch family, kelp perch, shiner perch, striped seaperch, black perch, walleye surfperch, silver surfperch, spotfin surfperch, white seaperch, sharpnose seaperch, pile perch, rubberlip seaperch, redtail surfperch, barred surfperch, calico surfperch, rainbow seaperch, dwarf perch, and pink seaperch."
California,2014,Yellowfin tuna,"107,752",H,
California,2014,Yellowfin tuna,752,R,
California,2015,"Barracuda, bass and bonito","1,168,496",R,
California,2015,"Barracuda, bass and bonito","178,986",H,"Barracuda, bass and bonito include grouper genus (epinephelus), broomtail grouper, sandbass genus, kelp bass, spotted sandbass, barred sandbass, giant seabass, Pacific barracuda, hookthroat bass, and threadfin bass.|This species may not be equivalent to species with similar names listed in the commercial tables."
California,2015,Bluefin tuna,"28,290",H,
California,2015,Bluefin tuna,360,R,
California,2015,California and other scorpionfish,"157,080",H,California and other scorpionfish include scorpionfish family and California scorpionfish.
California,2015,California and other scorpionfish,"205,949",R,
California,2015,California halibut and other flatfishes,"200,188",R,
California,2015,California halibut and other flatfishes,"331,178",H,"California halibut and other flatfishes include unidentified flounder or sole, flatfish order, lefteye flounder family, whiff genus, sanddab genus, Pacific sanddab, speckled sanddab, longfin sanddab, California halibut, bigmouth sole, fantail sole, righteye flounder family, arrowtooth flounder, petrale sole, rex sole, flathead sole, butter sole, rock sole, dover sole, english sole, starry flounder, c-o sole, curlfin sole, spotted turbot, hornyhead turbot, sand sole, Pacific halibut, and diamond turbot."
California,2015,Lingcod,"147,736",R,
California,2015,Lingcod,"242,937",H,
California,2015,Mackerels,"1,660,727",H,"Mackerels include mackerel family, Pacific (chub) mackerel, chub mackerel, bullet mackerel, and frigate mackerel."
California,2015,Mackerels,"552,050",R,
California,2015,Rockfishes,"2,527,116",H,"Rockfishes include rockfish species, rockfish genus, Pacific ocean perch, brown rockfish, redbanded rockfish, silvergray rockfish, copper rockfish, darkblotched rockfish, greenstriped rockfish, widow rockfish, yellowtail rockfish, chilipepper, rosethorn rockfish, quillback rockfish, black rockfish, vermilion rockfish, blue rockfish, china rockfish, tiger rockfish, bocaccio, canary rockfish, redstripe rockfish, yellowmouth rockfish, rosy rockfish, yelloweye rockfish, stripetail rockfish, black and yellow rockfish, kelp rockfish, greenspotted rockfish, starry rockfish, calico rockfish, bronzespotted rockfish, squarespot rockfish, cowcod, mexican rockfish, speckled rockfish, grass rockfish, flag rockfish, bank rockfish, halfbanded rockfish, olive rockfish, treefish, honeycomb rockfish, gopher rockfish, swordspine rockfish, freckled rockfish, pinkrose rockfish, greenblotched rockfish, shortspine thornyhead, deacon rockfish, and deacon/blue rockfish unknown.|This species may not be equivalent to species with similar names listed in the commercial tables."
California,2015,Rockfishes,"764,185",R,
California,2015,Salmon,"37,521",H,"Salmon include pink salmon, chum salmon, coho salmon, sockeye salmon, and Chinook salmon.|Salmon harvest estimates exclude release mortality."
California,2015,Salmon,0,R,
